AgeMa,CO2lower1s,CO2mean,CO2upper1s
0.25,268.6687251,306.7442174,359.1214282
0.75,246.0451648,266.9937727,304.4116183
1.25,211.2336245,263.9750514,355.9764788
1.75,203.880906,259.4423491,364.6862213
2.25,251.4170883,321.8138168,443.747468
2.75,249.56089,317.8600159,441.1969402
3.25,287.2793145,318.4658598,352.3190175
3.75,289.7585367,343.2698368,450.5629342
4.25,300.4517412,358.5096928,453.0842594
4.75,288.5472225,334.4851777,416.1410936
5.5,288.1616932,367.1747727,507.1290188
6.5,271.0193778,350.1471111,467.1876778
7.5,272.9097317,360.7070593,519.1725942
8.5,272.92695,345.72082,464.96169
9.5,240.97994,312.13068,437.22217
10.5,259.8411591,362.9470568,556.4675159
11.5,274.9567875,336.8963375,429.6931625
12.5,272.86162,348.2640083,466.8354567
13.5,265.1562208,332.7188054,426.7069558
14.5,397.9427023,463.3106068,539.5971918
15.5,363.6688959,429.0848213,522.5620019
16.5,345.76729,421.3241254,523.6213949
17.5,270.8822967,359.5398533,555.2206
18.5,274.6163014,341.6237179,472.4830424
19.5,343.1091667,423.9561583,547.7851375
20.5,337.4261492,411.1840861,523.773074
21.5,314.5815,405.689475,539.899975
22.5,396.3675483,484.1390438,633.0491996
23.5,290.3895307,374.4632763,530.5165951
24.5,381.16,513.45,659.24
25.5,388.2442337,544.6501037,815.4851279
26.5,452.6586007,542.3574593,683.1000681
27.5,494.8951841,612.991592,769.542331
28.5,502.5944163,615.4713695,832.0670555
29.5,837.9962124,906.9189197,1108.391153
30.5,646.8792293,782.3271473,954.7936384
31.5,478.1751019,603.1621488,817.2984268
32.5,588.5183459,694.9906212,838.4512086
33.5,550.9968445,667.7188141,827.3173541
34.5,547.9813769,720.3877355,931.5134786
35.5,608.890512,756.4636116,971.702344
36.5,800.6632498,933.9849375,1152.378185
37.5,907.335932,990.7459435,1222.154763
39,558.6494163,743.553475,1076.011542
41,400.5,503,623
43,385,424,467
45,603.3333333,885.5,1297.5
47,1062.5,1396.75,1991.25
49,507.5,647.5,793
51,735.9744444,854.2388889,1156.963333
53,748.6012698,922.1126984,1097.290794
55,523.2118519,709.8481481,990.7066667
57,519.8766667,707.5541667,978.5441667
59,405.3333333,518.6666667,669
61,293,319.5,485
63,252.5,295.25,424.75
65,499.3959707,620.8919414,865.4967033
67,529.2380952,677.2904762,989.3857143
69,288.1,450.8,691.9
71,154.2,308.2,616.6
73,498.6666667,566.3333333,864.3333333
75,528.3333333,625.6666667,1750
77,360.6666667,721.3333333,1442.666667
79,639.68,783.35,1091.27
81,485.34,597.3,918.26
83,565.5,1131,2262
85,519.98,624.5166667,968.8866667
87,488.32,610.4,732.48
89,611.52,764.4,917.28
91,632.16,790.2,948.24
93,410.8333333,667.5,1114.833333
95,568.6983908,891.6452107,1481.992031
97,767.0572414,1044.696552,1321.835862
99,685,1141.25,1977.5
101,574.8611111,939.75,1479.083333
103,656.81,1003.533333,1593.506667
105,593.3333333,961.5,1923.333333
107,626.1190476,1038.238095,1815.047619
109,508,1015,2030